Fold,Subject,UDE,RF_Autoreg
1,u_wesad_002.csv,0.005813659885752884,0.005513198941982149
2,u_wesad_003.csv,0.004267132555501541,0.0028870971808223314
3,u_wesad_004.csv,0.004510723760545158,0.005309120802677301
4,u_wesad_005.csv,0.004879782665749261,0.006610181322150224
5,u_wesad_006.csv,0.0038115852650092985,0.004521325014117246
6,u_wesad_007.csv,0.005533185053750328,0.0016311981774828647
7,u_wesad_008.csv,0.005640305041708679,0.007015912260767886
8,u_wesad_009.csv,0.0054123016001890985,0.005575505980814414
9,u_wesad_010.csv,0.005109670236595862,0.002974176176768687
10,u_wesad_011.csv,0.0052899328225428695,0.007124932090204361
11,u_wesad_013.csv,0.004963612887728633,0.001800755883467613
12,u_wesad_014.csv,0.004929191840649844,0.008195704325449638
13,u_wesad_015.csv,0.006238590541287269,0.008578608845893447
14,u_wesad_016.csv,0.005126527729598835,0.0031238113301044266
15,u_wesad_017.csv,0.005239331220027766,0.00040067600553005556
