Model,MSE,MAE,Type
UDE (Ours),0.016247150299090143,0.10130944430508974,Our Method
Ridge Regression,0.016320421492685703,0.10167809833967242,SOTA Baseline
Random Forest,0.0164583591034859,0.102604865167329,SOTA Baseline
LSTM,0.01654173992574215,0.10211259126663208,SOTA Baseline
