Model,MSE,MAE,Final_Variance,Components
Full (UDE + Biased PDE),0.07515609264373779,0.21273189783096313,1.694920257477861e-07,Neural Term + Diffusion + Kernel
No Kernel (Linear Diffusion),0.07515667378902435,0.21273331344127655,8.744263646498496e-10,Neural Term + Diffusion
No Diffusion (UDE),0.07516824454069138,0.21272870898246765,7.384569437060909e-14,Neural Term
No Neural Term (ODE),0.4615060091018677,0.4801991283893585,2.1000406036364438e-07,Diffusion + Kernel
Baseline (Pure ODE),0.5467087030410767,0.5384441018104553,2.2101634300497608e-08,None (Physics only)
